Respondent_ID,Brand,Age_Group,Gender,City,Satisfaction,Camera_Rating,Battery_Rating,Value_for_Money,Recommend,NPS_Score,Purchase_Channel,Repurchase_Intention
1,vivo,18-24,Female,Medan,4,5,3,3,Yes,7,Online,Yes
2,OPPO,18-24,Male,Medan,4,3,4,5,Yes,8,Online,Maybe
3,Xiaomi,18-24,Female,Yogyakarta,4,5,4,4,Yes,8,Offline,Yes
4,vivo,35-44,Female,Bandung,5,4,3,4,Yes,10,Online,Yes
5,OPPO,18-24,Female,Bandung,5,3,4,5,Yes,10,Offline,Yes
6,OPPO,18-24,Male,Surabaya,4,4,4,5,Yes,7,Online,Maybe
7,OPPO,18-24,Female,Makassar,4,5,5,4,Yes,8,Offline,Yes
8,Samsung,45-54,Female,Surabaya,4,5,4,4,Yes,8,Offline,Maybe
9,Samsung,45-54,Male,Denpasar,4,4,5,5,Yes,8,Offline,Yes
10,Samsung,45-54,Female,Jakarta,4,4,5,3,Yes,8,Offline,Yes
11,OPPO,18-24,Female,Surabaya,4,4,3,3,Yes,7,Online,Yes
12,vivo,35-44,Male,Yogyakarta,4,4,3,5,Yes,8,Online,Yes
13,Apple,45-54,Male,Denpasar,5,3,4,4,Yes,10,Online,No
14,OPPO,35-44,Female,Medan,5,4,4,3,Yes,10,Offline,No
15,Samsung,25-34,Male,Medan,4,5,4,4,Yes,7,Online,Yes
16,OPPO,45-54,Female,Bandung,4,4,4,4,Yes,8,Offline,Yes
17,Xiaomi,18-24,Male,Makassar,4,5,4,4,Yes,7,Offline,Yes
18,Xiaomi,18-24,Male,Medan,4,4,4,5,Yes,7,Online,Yes
19,OPPO,45-54,Male,Bandung,5,4,5,5,Yes,9,Online,Maybe
20,OPPO,18-24,Female,Semarang,5,4,4,5,Yes,10,Offline,Yes
21,OPPO,18-24,Male,Yogyakarta,5,5,3,4,Yes,9,Online,Yes
22,Apple,18-24,Male,Medan,3,5,4,4,No,4,Offline,No
23,vivo,25-34,Female,Semarang,4,5,4,5,Yes,8,Online,Yes
24,OPPO,25-34,Male,Bandung,3,4,5,5,No,4,Offline,No
25,Samsung,25-34,Female,Jakarta,4,4,4,4,Yes,7,Online,Yes
26,Xiaomi,18-24,Female,Medan,4,4,4,4,Yes,8,Online,Yes
27,OPPO,25-34,Female,Jakarta,5,4,4,4,Yes,10,Offline,Yes
28,vivo,18-24,Male,Jakarta,4,3,4,4,Yes,8,Online,Yes
29,Apple,18-24,Male,Bandung,4,5,5,3,Yes,7,Online,No
30,Apple,45-54,Male,Makassar,5,5,4,5,Yes,9,Online,Yes
31,Samsung,18-24,Female,Medan,5,5,4,5,Yes,9,Online,Yes
32,Samsung,18-24,Male,Semarang,4,5,4,3,Yes,8,Online,No
33,Apple,18-24,Female,Jakarta,5,5,4,3,Yes,9,Online,Yes
34,OPPO,35-44,Male,Medan,4,4,4,4,Yes,8,Online,Maybe
35,Xiaomi,18-24,Female,Makassar,4,5,4,4,Yes,8,Online,Maybe
36,vivo,18-24,Male,Semarang,4,5,3,4,Yes,8,Online,Yes
37,Samsung,35-44,Male,Bandung,4,5,4,4,Yes,7,Online,Maybe
38,Xiaomi,18-24,Male,Medan,5,4,4,4,Yes,9,Offline,Maybe
39,Samsung,18-24,Male,Bandung,4,4,5,3,Yes,8,Online,Yes
40,Apple,18-24,Male,Denpasar,3,3,3,3,No,5,Offline,No
41,Xiaomi,25-34,Male,Denpasar,3,4,4,4,No,6,Online,Maybe
42,OPPO,18-24,Female,Medan,4,5,4,4,Yes,7,Online,Yes
43,Xiaomi,18-24,Female,Yogyakarta,3,4,4,5,No,6,Online,No
44,Apple,35-44,Female,Denpasar,5,5,5,3,Yes,10,Online,Yes
45,Samsung,18-24,Female,Jakarta,3,5,4,3,No,5,Online,No
46,Apple,25-34,Male,Bandung,4,4,4,4,Yes,8,Offline,Yes
47,Samsung,35-44,Female,Semarang,4,3,4,4,Yes,7,Online,Maybe
48,Apple,18-24,Male,Jakarta,5,3,5,4,Yes,9,Offline,Yes
49,vivo,25-34,Male,Denpasar,4,3,4,5,Yes,7,Online,Maybe
50,Apple,18-24,Male,Semarang,3,4,3,5,No,4,Online,Yes
51,OPPO,35-44,Male,Jakarta,4,5,4,5,Yes,8,Offline,Yes
52,Xiaomi,18-24,Female,Denpasar,4,3,4,3,Yes,8,Offline,Maybe
53,Samsung,35-44,Female,Yogyakarta,5,3,5,5,Yes,9,Offline,Maybe
54,Samsung,25-34,Female,Surabaya,4,4,4,5,Yes,8,Online,Yes
55,OPPO,35-44,Female,Medan,4,3,3,4,Yes,7,Offline,Yes
56,vivo,18-24,Female,Denpasar,3,4,5,4,No,5,Offline,No
57,Samsung,18-24,Male,Yogyakarta,5,5,4,4,Yes,9,Offline,Maybe
58,Xiaomi,45-54,Female,Bandung,4,4,4,5,Yes,7,Online,Yes
59,vivo,25-34,Male,Denpasar,4,4,4,5,Yes,8,Online,Yes
60,OPPO,35-44,Male,Bandung,4,4,4,4,Yes,7,Offline,Maybe
61,OPPO,18-24,Female,Medan,4,4,5,4,Yes,8,Online,Yes
62,vivo,35-44,Male,Medan,4,4,4,5,Yes,7,Offline,Yes
63,vivo,25-34,Male,Medan,4,4,4,4,Yes,7,Online,No
64,Samsung,25-34,Male,Semarang,4,4,4,5,Yes,8,Offline,Yes
65,vivo,25-34,Female,Denpasar,3,4,5,3,No,6,Online,Maybe
66,OPPO,25-34,Male,Semarang,3,4,5,5,No,5,Online,No
67,Apple,25-34,Female,Bandung,4,5,4,4,Yes,7,Offline,Yes
68,Samsung,45-54,Male,Denpasar,5,4,5,5,Yes,9,Offline,Maybe
69,Samsung,18-24,Female,Denpasar,3,3,4,5,No,5,Offline,Maybe
70,OPPO,45-54,Male,Surabaya,4,4,4,5,Yes,7,Online,Yes
71,vivo,18-24,Female,Semarang,3,4,3,4,No,4,Online,Maybe
72,Apple,18-24,Female,Yogyakarta,5,4,5,3,Yes,10,Offline,Maybe
73,Apple,25-34,Female,Yogyakarta,4,5,4,5,Yes,7,Online,No
74,vivo,18-24,Female,Jakarta,4,5,5,4,Yes,7,Online,Yes
75,OPPO,45-54,Female,Bandung,5,4,4,4,Yes,9,Online,Yes
76,OPPO,35-44,Female,Yogyakarta,4,4,5,5,Yes,8,Offline,No
77,Apple,18-24,Male,Medan,3,4,5,4,No,5,Online,No
78,Samsung,25-34,Male,Jakarta,4,4,4,5,Yes,7,Online,Yes
79,OPPO,18-24,Female,Medan,3,4,4,5,No,5,Online,Maybe
80,Apple,25-34,Female,Surabaya,5,5,5,4,Yes,10,Offline,Maybe
81,Xiaomi,18-24,Female,Denpasar,5,4,4,5,Yes,10,Offline,Yes
82,OPPO,25-34,Male,Denpasar,5,3,4,4,Yes,10,Online,Yes
83,vivo,25-34,Male,Bandung,5,4,4,5,Yes,10,Online,Maybe
84,Apple,18-24,Female,Surabaya,5,5,5,4,Yes,10,Offline,Maybe
85,Apple,45-54,Female,Yogyakarta,5,4,5,5,Yes,9,Offline,Maybe
86,Apple,35-44,Female,Bandung,5,4,4,4,Yes,10,Offline,Yes
87,OPPO,18-24,Male,Yogyakarta,5,4,5,5,Yes,10,Online,Maybe
88,OPPO,45-54,Female,Denpasar,5,5,4,4,Yes,10,Offline,Maybe
89,vivo,35-44,Female,Bandung,4,3,4,4,Yes,8,Offline,Yes
90,Apple,35-44,Male,Yogyakarta,3,4,4,5,No,4,Offline,No
91,OPPO,18-24,Male,Jakarta,4,4,5,5,Yes,7,Online,Maybe
92,vivo,35-44,Male,Yogyakarta,4,3,4,4,Yes,7,Offline,No
93,Xiaomi,18-24,Male,Surabaya,5,4,4,5,Yes,9,Online,Yes
94,Xiaomi,25-34,Male,Denpasar,3,4,4,4,No,4,Online,No
95,Xiaomi,45-54,Female,Denpasar,4,4,5,4,Yes,8,Offline,Maybe
96,Xiaomi,25-34,Male,Yogyakarta,4,4,4,5,Yes,8,Offline,Yes
97,Samsung,25-34,Male,Bandung,5,4,4,3,Yes,9,Online,Yes
98,Samsung,35-44,Female,Makassar,4,4,4,4,Yes,7,Offline,Maybe
99,OPPO,35-44,Male,Makassar,5,5,5,4,Yes,10,Offline,Maybe
100,Samsung,25-34,Female,Jakarta,5,4,4,5,Yes,9,Offline,Yes
101,OPPO,18-24,Female,Bandung,4,4,5,3,Yes,7,Offline,Maybe
102,OPPO,18-24,Female,Yogyakarta,4,5,5,5,Yes,7,Online,Yes
103,OPPO,25-34,Female,Makassar,4,4,4,5,Yes,7,Online,Maybe
104,OPPO,25-34,Male,Semarang,4,5,4,4,Yes,7,Online,Maybe
105,Samsung,18-24,Female,Semarang,5,4,4,4,Yes,10,Online,No
106,Xiaomi,18-24,Male,Jakarta,3,4,5,5,No,4,Offline,Maybe
107,OPPO,35-44,Male,Makassar,5,4,5,4,Yes,10,Offline,Maybe
108,Samsung,25-34,Female,Surabaya,5,3,5,3,Yes,9,Online,Yes
109,OPPO,25-34,Male,Makassar,5,4,4,5,Yes,9,Online,Yes
110,vivo,18-24,Female,Yogyakarta,4,3,4,4,Yes,7,Online,Yes
111,vivo,35-44,Male,Surabaya,5,4,3,4,Yes,10,Offline,Maybe
112,Apple,25-34,Male,Denpasar,5,5,4,5,Yes,9,Online,Yes
113,Samsung,25-34,Male,Yogyakarta,4,4,5,3,Yes,8,Online,Yes
114,Samsung,35-44,Male,Yogyakarta,4,4,5,4,Yes,8,Online,No
115,Samsung,18-24,Male,Denpasar,5,4,4,4,Yes,10,Offline,Yes
116,vivo,18-24,Female,Bandung,4,5,4,4,Yes,7,Online,Yes
117,Apple,18-24,Female,Surabaya,3,4,4,5,No,5,Online,No
118,vivo,25-34,Female,Jakarta,4,4,4,5,Yes,8,Online,Yes
119,OPPO,18-24,Male,Jakarta,4,3,4,4,Yes,7,Online,Yes
120,Xiaomi,18-24,Female,Medan,5,4,4,3,Yes,9,Offline,Yes
121,Apple,35-44,Male,Yogyakarta,4,4,4,4,Yes,8,Offline,Yes
122,Apple,35-44,Male,Semarang,5,5,4,5,Yes,9,Online,Yes
123,OPPO,45-54,Male,Makassar,5,5,5,3,Yes,9,Offline,Yes
124,Samsung,18-24,Male,Yogyakarta,4,5,5,5,Yes,8,Online,Maybe
125,OPPO,45-54,Female,Surabaya,4,4,3,3,Yes,7,Online,Yes
126,vivo,35-44,Female,Bandung,4,4,4,4,Yes,8,Offline,Yes
127,vivo,18-24,Male,Surabaya,4,4,4,5,Yes,7,Online,Maybe
128,vivo,25-34,Male,Makassar,4,4,4,4,Yes,7,Online,Yes
129,Samsung,35-44,Male,Yogyakarta,5,5,4,5,Yes,10,Offline,No
130,vivo,35-44,Male,Denpasar,4,4,4,3,Yes,8,Offline,No
131,Apple,25-34,Female,Jakarta,5,4,4,5,Yes,10,Offline,Yes
132,Samsung,25-34,Female,Makassar,4,5,4,3,Yes,8,Offline,Maybe
133,OPPO,25-34,Male,Semarang,4,5,4,4,Yes,8,Offline,Yes
134,Samsung,18-24,Female,Makassar,4,5,4,4,Yes,8,Online,Yes
135,Apple,18-24,Female,Jakarta,5,5,4,3,Yes,9,Offline,Maybe
136,Apple,25-34,Male,Surabaya,4,4,4,4,Yes,7,Online,Yes
137,Samsung,25-34,Male,Semarang,4,3,4,5,Yes,8,Online,Yes
138,Apple,25-34,Female,Bandung,5,3,5,4,Yes,9,Offline,Yes
139,Apple,35-44,Male,Yogyakarta,4,4,5,4,Yes,8,Offline,Yes
140,Samsung,45-54,Male,Bandung,5,4,4,3,Yes,10,Online,Maybe
141,OPPO,18-24,Male,Denpasar,3,4,5,5,No,6,Online,No
142,Xiaomi,18-24,Male,Bandung,4,4,5,5,Yes,7,Offline,Yes
143,Xiaomi,18-24,Female,Surabaya,3,4,5,5,No,6,Online,No
144,OPPO,25-34,Female,Jakarta,4,4,5,5,Yes,8,Offline,Maybe
145,vivo,18-24,Female,Semarang,3,4,4,3,No,4,Online,No
146,Samsung,25-34,Male,Yogyakarta,4,4,4,3,Yes,8,Online,No
147,Xiaomi,25-34,Male,Yogyakarta,4,4,4,5,Yes,7,Offline,Yes
148,Apple,25-34,Male,Yogyakarta,5,4,5,4,Yes,10,Offline,Yes
149,Samsung,18-24,Female,Denpasar,5,4,4,4,Yes,10,Offline,Yes
150,Samsung,18-24,Male,Makassar,5,5,4,5,Yes,9,Online,Yes
